地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),國立,4562270,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),市立,2064504,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),私立,7465198,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_經常支出,4311429,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_經常支出,2042831,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_經常支出,5829966,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_資本支出,449589,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_資本支出,21673,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_資本支出,2273748,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_償還借款,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_償還借款,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_償還借款,179603,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_經常支出報廢金額,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_經常支出報廢金額,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_經常支出報廢金額,145803,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),國立_折舊、折耗及攤銷,470995,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),國立,5040041,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),市立,2166179,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),私立,6923462,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_經常支出,4426431,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_經常支出,2129463,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_經常支出,5469085,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_資本支出,379409,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_資本支出,92573,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_資本支出,2148369,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_償還借款,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_償還借款,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_償還借款,834956,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_經常支出報廢金額,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_經常支出報廢金額,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_經常支出報廢金額,211607,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),國立_折舊、折耗及攤銷,504544,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),市立_折舊、折耗及攤銷,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),私立_折舊、折耗及攤銷,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),市立_折舊、折耗及攤銷,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),私立_折舊、折耗及攤銷,0,2016-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
